id,name,level,health,size,body_size,armor_physics,armor_magic,attack_physics_min,attack_physics_max,attack_magic_min,attack_magic_max,attack_cooldown,attack_range_average,attack_range_max,speed,change_avoid_melee,value,life_taken,life_count,boss,air,underground,drop_gem_percent,drop_gem_amount_min,drop_gem_amount_max
7,Orc King,2,8500,25,30,50,0,150,200,0,0,1200,33,0,20,0,400,25,1,1,0,0,100,20,40
8,Wild Boar,0,135,12,18,0,0,12,16,0,0,1000,33,0,60,0,28,1,1,0,0,0,0,0,0
8,Wild Boar,1,145,12,18,0,0,12,16,0,0,1000,33,0,60,0,28,1,1,0,0,0,0,0,0
8,Wild Boar,2,155,12,18,0,0,12,16,0,0,1000,33,0,60,0,28,1,1,0,0,0,0,0,0
9,Werewolf,0,320,15,10,0,0,20,35,0,0,1000,33,0,60,0,14,1,1,0,0,1,30,1,2
9,Werewolf,1,350,15,10,0,0,20,35,0,0,1000,33,0,60,0,14,1,1,0,0,1,30,1,2
9,Werewolf,2,390,15,10,0,0,20,35,0,0,1000,33,0,60,0,14,1,1,0,0,1,30,1,2
10,Snail,0,200,15,10,0,50,0,0,30,40,2500,33,0,17,0,0,2,2,0,0,0,0,5,8
10,Snail,1,220,15,10,0,50,0,0,30,40,2500,33,0,17,0,0,2,2,0,0,0,0,5,8
10,Snail,2,260,15,10,0,50,0,0,30,40,2500,33,0,17,0,0,2,2,0,0,0,0,5,8
11,Bold Snail,0,200,10,10,0,0,0,0,30,40,1000,33,0,50,0,21,1,1,0,0,0,20,1,2
11,Bold Snail,1,220,10,10,0,0,0,0,30,40,1000,33,0,50,0,21,1,1,0,0,0,20,1,2
11,Bold Snail,2,260,10,10,0,0,0,0,30,40,1000,33,0,50,0,21,1,1,0,0,0,20,1,2
12,Mutated Snail,0,320,15,10,0,75,0,0,35,50,2500,33,0,17,0,0,2,2,0,0,0,0,5,8
12,Mutated Snail,1,350,15,10,0,75,0,0,35,50,2500,33,0,17,0,0,2,2,0,0,0,0,5,8
12,Mutated Snail,2,390,15,10,0,75,0,0,35,50,2500,33,0,17,0,0,2,2,0,0,0,0,5,8
13,Bold Mutated Snail,0,320,10,10,0,0,0,0,35,50,1000,33,0,50,0,28,1,1,0,0,0,20,1,3
13,Bold Mutated Snail,1,350,10,10,0,0,0,0,35,50,1000,33,0,50,0,28,1,1,0,0,0,20,1,3
13,Bold Mutated Snail,2,390,10,10,0,0,0,0,35,50,1000,33,0,50,0,28,1,1,0,0,0,20,1,3
14,Tribal Warrior,0,320,12,10,0,0,15,30,0,0,1500,33,100,40,0,21,1,1,0,0,0,5,3,5
14,Tribal Warrior,1,350,12,10,0,0,15,30,0,0,1500,33,100,40,0,21,1,1,0,0,0,5,3,5
14,Tribal Warrior,2,390,12,10,0,0,15,30,0,0,1500,33,100,40,0,21,1,1,0,0,0,5,3,5
15,Drunk Orc,0,380,15,14,0,0,25,40,0,0,3000,33,0,30,0,36,3,1,0,0,0,30,1,2
15,Drunk Orc,1,450,15,14,0,0,25,40,0,0,3000,33,0,30,0,36,3,1,0,0,0,30,1,2
15,Drunk Orc,2,520,15,14,0,0,25,40,0,0,3000,33,0,30,0,36,3,1,0,0,0,30,1,2
16,Mine King,0,16000,25,30,0,50,0,0,5000,7000,1200,33,0,20,0,400,25,1,1,0,0,100,20,40
16,Mine King,1,18000,25,30,0,50,0,0,5000,7000,1200,33,0,20,0,400,25,1,1,0,0,100,20,40
16,Mine King,2,22000,25,30,0,50,0,0,5000,7000,1200,33,0,20,0,400,25,1,1,0,0,100,20,40
17,Gitrog,0,300,12,10,0,0,0,0,1000,1500,1000,20,0,50,0,21,1,1,0,0,0,0,5,10
17,Gitrog,1,350,12,10,0,0,0,0,1000,1500,1000,20,0,50,0,21,1,1,0,0,0,0,5,10
17,Gitrog,2,400,12,10,0,0,0,0,1000,1500,1000,20,0,50,0,21,1,1,0,0,0,0,5,10
18,E18,0,110,10,8,10,0,8,13,0,0,1000,33,0,120,0,28,1,1,0,0,0,20,2,3
18,E18,1,120,10,8,10,0,8,13,0,0,1000,33,0,120,0,28,1,1,0,0,0,20,2,3
18,E18,2,140,10,8,10,0,8,13,0,0,1000,33,0,120,0,28,1,1,0,0,0,20,2,3
19,E19,0,200,10,8,45,0,20,30,0,0,1000,33,0,50,0,42,1,1,0,0,0,20,2,3
19,E19,1,230,10,8,45,0,20,30,0,0,1000,33,0,50,0,42,1,1,0,0,0,20,2,3
19,E19,2,250,10,8,45,0,20,30,0,0,1000,33,0,50,0,42,1,1,0,0,0,20,2,3
20,E20,0,400,20,18,95,95,30,50,0,0,2000,33,0,25,0,14,3,1,0,0,0,20,2,3
20,E20,1,425,20,18,95,95,30,50,0,0,2000,33,0,25,0,14,3,1,0,0,0,20,2,3
20,E20,2,450,20,18,95,95,30,50,0,0,2000,33,0,25,0,14,3,1,0,0,0,20,2,3
21,E21,0,680,18,14,55,0,15,30,0,0,1000,33,0,20,0,56,1,1,0,0,0,15,1,1
21,E21,1,720,18,14,55,0,15,30,0,0,1000,33,0,20,0,56,1,1,0,0,0,15,1,1
21,E21,2,800,18,14,55,0,15,30,0,0,1000,33,0,20,0,56,1,1,0,0,0,15,1,1
22,E22,0,325,25,30,90,0,50,65,0,0,0,0,0,20,0,35,1,1,0,1,0,10,2,3
22,E22,1,325,25,30,90,0,50,65,0,0,0,0,0,60,0,35,1,1,0,1,0,10,2,3
22,E22,2,325,25,30,90,0,50,65,0,0,0,0,0,60,0,35,1,1,0,1,0,10,2,3
23,E23,0,310,25,30,0,90,0,0,100,110,0,0,0,65,0,35,1,1,0,1,0,10,2,3
23,E23,1,310,25,30,0,90,0,0,100,110,0,0,0,65,0,35,1,1,0,1,0,10,2,3
23,E23,2,310,25,30,0,90,0,0,100,110,0,0,0,65,0,35,1,1,0,1,0,10,2,3
24,E24,0,350,25,30,0,0,40,60,0,0,2000,-1,200,32,0,0,2,2,0,0,0,0,5,8
24,E24,1,370,25,30,0,0,40,60,0,0,2000,-1,200,32,0,0,2,2,0,0,0,0,5,8
24,E24,2,390,25,30,0,0,40,60,0,0,2000,-1,200,32,0,0,2,2,0,0,0,0,5,8
25,Boss25,0,22000,25,30,0,50,120,160,0,0,3000,-1,200,10,0,400,25,1,1,0,0,100,20,40
25,Boss25,1,24000,25,30,0,50,120,180,0,0,3000,-1,200,10,0,400,25,1,1,0,0,100,20,40
25,Boss25,2,26000,25,30,0,50,150,250,0,0,3000,-1,200,10,0,400,25,1,1,0,0,100,20,40
25,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
