id,name,level,exp_per_level,respawn_time,health_regen,health_regen_cooldown,health,armor_physics,armor_magic,critical_strike_chance,attack_physics_min,attack_physics_max,attack_magic_min,attack_magic_max,attack_cooldown,attack_range_min,attack_range_average,attack_range_max,activate_range,speed,can_attack_air,skill_point_bonus
3,Shaman King,0,50,30000,10,10000,70,0,0,0,0,0,24,30,1200,10,50,170,200,80,1,1
3,Shaman King,1,78,30000,10,10000,80,0,0,0,0,0,25,31,1200,10,50,170,200,80,1,1
3,Shaman King,2,154,30000,10,10000,90,0,0,0,0,0,26,32,1200,10,50,170,200,80,1,1
3,Shaman King,3,302,30000,10,10000,110,0,0,0,0,0,28,32,1200,10,50,170,200,80,1,1
3,Shaman King,4,546,30000,10,10000,130,0,0,0,0,0,28,33,1200,10,50,170,200,80,1,1
3,Shaman King,5,910,30000,10,10000,160,0,0,0,0,0,30,33,1200,10,50,170,200,80,1,1
3,Shaman King,6,1418,30000,10,10000,190,0,0,0,0,0,30,35,1200,10,50,170,200,80,1,1
3,Shaman King,7,2094,30000,10,10000,230,0,0,0,0,0,31,35,1200,10,50,170,200,80,1,1
3,Shaman King,8,2962,30000,10,10000,270,0,0,0,0,0,32,36,1200,10,50,170,200,80,1,2
3,Shaman King,9,4046,30000,10,10000,320,0,0,0,0,0,33,37,1200,10,50,170,200,80,1,2
4,Golem,0,50,30000,20,10000,100,20,0,0,47,65,0,0,2500,10,50,50,100,25,0,1
4,Golem,1,78,30000,20,10000,115,20,0,0,51,65,0,0,2500,10,50,50,100,25,0,1
4,Golem,2,154,30000,20,10000,140,20,0,0,54,66,0,0,2500,10,50,50,100,25,0,1
4,Golem,3,302,30000,20,10000,175,35,0,0,56,68,0,0,2500,10,50,50,100,25,0,1
4,Golem,4,546,30000,20,10000,220,35,0,0,58,70,0,0,2500,10,50,50,100,25,0,1
4,Golem,5,910,30000,20,10000,275,35,0,0,60,71,0,0,2500,10,50,50,100,25,0,1
4,Golem,6,1418,30000,20,10000,340,60,0,0,62,73,0,0,2500,10,50,50,100,25,0,1
4,Golem,7,2094,30000,20,10000,415,60,0,0,64,75,0,0,2500,10,50,50,100,25,0,1
4,Golem,8,2962,30000,20,10000,500,60,0,0,65,78,0,0,2500,10,50,50,100,25,0,2
4,Golem,9,4046,30000,20,10000,595,60,0,0,66,80,0,0,2500,10,50,50,100,25,0,2
5,Nature Queen,0,50,30000,10,10000,100,0,0,0,30,40,0,0,1550,10,50,190,300,75,1,1
5,Nature Queen,1,78,30000,10,10000,110,0,0,0,30,42,0,0,1550,10,50,190,300,75,1,1
5,Nature Queen,2,154,30000,10,10000,120,0,0,0,32,42,0,0,1550,10,50,190,300,75,1,1
5,Nature Queen,3,302,30000,10,10000,130,0,0,0,32,45,0,0,1550,10,50,190,300,75,1,1
5,Nature Queen,4,546,30000,10,10000,145,0,0,0,34,45,0,0,1550,10,50,190,300,75,1,1
5,Nature Queen,5,910,30000,10,10000,160,0,0,0,34,47,0,0,1550,10,50,190,300,75,1,1
5,Nature Queen,6,1418,30000,10,10000,185,0,0,0,36,48,0,0,1550,10,50,190,300,75,1,1
5,Nature Queen,7,2094,30000,10,10000,200,0,0,0,38,48,0,0,1550,10,50,190,300,75,1,1
5,Nature Queen,8,2962,30000,10,10000,235,0,0,0,38,50,0,0,1550,10,50,190,300,75,1,2
5,Nature Queen,9,4046,30000,10,10000,290,0,0,0,40,51,0,0,1550,10,50,190,300,75,1,2
6,Thor,0,50,30000,20,10000,120,10,0,0,38,45,0,0,1800,15,50,50,100,55,0,1
6,Thor,1,78,30000,20,10000,130,15,0,0,40,47,0,0,1800,15,50,50,100,55,0,1
6,Thor,2,154,30000,20,10000,150,20,0,0,41,49,0,0,1800,15,50,50,100,55,0,1
6,Thor,3,302,30000,20,10000,180,25,0,0,41,54,0,0,1800,15,50,50,100,55,0,1
6,Thor,4,546,30000,20,10000,220,25,0,0,43,54,0,0,1800,15,50,50,100,55,0,1
6,Thor,5,910,30000,20,10000,265,30,0,0,43,57,0,0,1800,15,50,50,100,55,0,1
6,Thor,6,1418,30000,20,10000,315,30,0,0,46,59,0,0,1800,15,50,50,100,55,0,1
6,Thor,7,2094,30000,20,10000,375,35,0,0,49,62,0,0,1800,15,50,50,100,55,0,1
6,Thor,8,2962,30000,20,10000,445,35,0,0,49,65,0,0,1800,15,50,50,100,55,0,2
6,Thor,9,4046,30000,20,10000,525,40,0,0,51,68,0,0,1800,15,50,50,100,55,0,2
7,Ninja Assassin,0,50,30000,10,10000,60,0,0,0,32,43,0,0,1450,10,50,190,300,82,1,1
7,Ninja Assassin,1,78,30000,10,10000,65,0,0,0,32,45,0,0,1450,10,50,190,300,82,1,1
7,Ninja Assassin,2,154,30000,10,10000,70,0,0,0,34,45,0,0,1450,10,50,190,300,82,1,1
7,Ninja Assassin,3,302,30000,10,10000,80,0,0,0,34,50,0,0,1450,10,50,190,300,82,1,1
7,Ninja Assassin,4,546,30000,10,10000,95,0,0,0,37,50,0,0,1450,10,50,190,300,82,1,1
7,Ninja Assassin,5,910,30000,10,10000,115,0,0,0,37,51,0,0,1450,10,50,190,300,82,1,1
7,Ninja Assassin,6,1418,30000,10,10000,135,0,0,0,39,52,0,0,1450,10,50,190,300,82,1,1
7,Ninja Assassin,7,2094,30000,10,10000,160,0,0,0,42,55,0,0,1450,10,50,190,300,82,1,1
7,Ninja Assassin,8,2962,30000,10,10000,185,0,0,0,42,56,0,0,1450,10,50,190,300,82,1,2
7,Ninja Assassin,9,4046,30000,10,10000,225,0,0,0,43,59,0,0,1450,10,50,190,300,82,1,2
8,Tristana,0,50,35000,10,10000,60,0,0,0,56,63,0,0,2600,10,50,190,300,55,1,1
8,Tristana,1,78,35000,10,10000,65,0,0,0,57,65,0,0,2600,10,50,190,300,55,1,1
8,Tristana,2,154,35000,10,10000,70,0,0,0,60,67,0,0,2600,10,50,190,300,55,1,1
8,Tristana,3,302,35000,10,10000,80,0,0,0,63,72,0,0,2600,10,50,190,300,55,1,1
8,Tristana,4,546,35000,10,10000,95,0,0,0,64,72,0,0,2600,10,50,190,300,55,1,1
8,Tristana,5,910,35000,10,10000,115,0,0,0,66,75,0,0,2600,10,50,190,300,55,1,1
8,Tristana,6,1418,35000,10,10000,135,0,0,0,70,78,0,0,2600,10,50,190,300,55,1,1
8,Tristana,7,2094,35000,10,10000,160,0,0,0,72,79,0,0,2600,10,50,190,300,55,1,1
8,Tristana,8,2962,35000,10,10000,185,0,0,0,74,81,0,0,2600,10,50,190,300,55,1,2
8,Tristana,9,4046,35000,10,10000,225,0,0,0,76,84,0,0,2600,10,50,190,300,55,1,2
9,Jungle Lord,0,50,30000,15,10000,135,15,0,0,31,40,0,0,1800,10,50,50,100,40,0,1
9,Jungle Lord,1,78,30000,15,10000,155,15,0,0,31,41,0,0,1800,10,50,50,100,40,0,1
9,Jungle Lord,2,154,30000,15,10000,175,20,0,0,31,43,0,0,1800,10,50,50,100,40,0,1
9,Jungle Lord,3,302,30000,15,10000,200,26,0,0,33,44,0,0,1800,10,50,50,100,40,0,1
9,Jungle Lord,4,546,30000,15,10000,232,28,0,0,34,45,0,0,1800,10,50,50,100,40,0,1
9,Jungle Lord,5,910,30000,15,10000,285,30,0,0,34,45,0,0,1800,10,50,50,100,40,0,1
9,Jungle Lord,6,1418,30000,15,10000,340,35,0,0,36,47,0,0,1800,10,50,50,100,40,0,1
9,Jungle Lord,7,2094,30000,15,10000,415,40,0,0,38,48,0,0,1800,10,50,50,100,40,0,1
9,Jungle Lord,8,2962,30000,15,10000,485,45,0,0,40,53,0,0,1800,10,50,50,100,40,0,2
9,Jungle Lord,9,4046,30000,15,10000,548,50,0,0,47,57,0,0,1800,10,50,50,100,40,0,2
10,Steel Dragon,0,50,32000,10,10000,182,0,10,0,0,0,98,113,2200,10,0,190,300,110,1,1
10,Steel Dragon,1,78,32000,10,10000,195,0,10,0,0,0,102,115,2200,10,0,190,300,110,1,1
10,Steel Dragon,2,154,32000,10,10000,210,0,10,0,0,0,106,117,2200,10,0,190,300,110,1,1
10,Steel Dragon,3,302,32000,10,10000,227,20,10,0,0,0,108,122,2200,10,0,190,300,110,1,1
10,Steel Dragon,4,546,32000,10,10000,245,20,12,0,0,0,112,124,2200,10,0,190,300,110,1,1
10,Steel Dragon,5,910,32000,10,10000,262,20,14,0,0,0,116,127,2200,10,0,190,300,110,1,1
10,Steel Dragon,6,1418,32000,10,10000,281,35,14,0,0,0,120,130,2200,10,0,190,300,110,1,1
10,Steel Dragon,7,2094,32000,10,10000,299,35,16,0,0,0,122,132,2200,10,0,190,300,110,1,1
10,Steel Dragon,8,2962,32000,10,10000,350,35,18,0,0,0,124,135,2200,10,0,190,300,110,1,2
10,Steel Dragon,9,4046,32000,10,10000,417,35,20,0,0,0,127,140,2200,10,0,190,300,110,1,2
11,Phoenix,0,50,24000,20,10000,280,0,10,0,0,0,76,86,2000,10,0,190,300,110,1,1
11,Phoenix,1,78,24000,20,10000,300,0,10,0,0,0,78,87,2000,10,0,190,300,110,1,1
11,Phoenix,2,154,24000,20,10000,330,0,10,0,0,0,79,90,2000,10,0,190,300,110,1,1
11,Phoenix,3,302,24000,20,10000,360,20,10,0,0,0,82,93,2000,10,0,190,300,110,1,1
11,Phoenix,4,546,24000,20,10000,400,20,12,0,0,0,85,95,2000,10,0,190,300,110,1,1
11,Phoenix,5,910,24000,20,10000,450,20,14,0,0,0,87,99,2000,10,0,190,300,110,1,1
11,Phoenix,6,1418,24000,20,10000,500,35,14,0,0,0,91,102,2000,10,0,190,300,110,1,1
11,Phoenix,7,2094,24000,20,10000,550,35,16,0,0,0,94,105,2000,10,0,190,300,110,1,1
11,Phoenix,8,2962,24000,20,10000,600,35,18,0,0,0,97,107,2000,10,0,190,300,110,1,2
11,Phoenix,9,4046,24000,20,10000,700,35,20,0,0,0,100,115,2000,10,0,190,300,110,1,2
